hair;feathers;eggs;milk;airborne;aquatic;predator;toothed;backbone;breathes;venomous;fins;legs;tail;domestic;catsize
yes;no;no;yes;no;no;yes;yes;yes;yes;no;no;4;no;no;yes
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;4;yes;no;yes
no;no;yes;no;no;yes;yes;yes;yes;no;no;yes;0;yes;no;no
yes;no;no;yes;no;no;yes;yes;yes;yes;no;no;4;no;no;yes
yes;no;no;yes;no;no;yes;yes;yes;yes;no;no;4;yes;no;yes
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;4;yes;no;yes
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;4;yes;yes;yes
no;no;yes;no;no;yes;no;yes;yes;no;no;yes;0;yes;yes;no
no;no;yes;no;no;yes;yes;yes;yes;no;no;yes;0;yes;no;no
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;4;no;yes;no
yes;no;no;yes;no;no;yes;yes;yes;yes;no;no;4;yes;no;yes
no;yes;yes;no;yes;no;no;no;yes;yes;no;no;2;yes;yes;no
no;no;yes;no;no;yes;yes;yes;yes;no;no;yes;0;yes;no;no
no;no;yes;no;no;no;yes;no;no;no;no;no;0;no;no;no
no;no;yes;no;no;yes;yes;no;no;no;no;no;4;no;no;no
no;no;yes;no;no;yes;yes;no;no;no;no;no;6;no;no;no
no;yes;yes;no;yes;no;yes;no;yes;yes;no;no;2;yes;no;no
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;4;yes;no;yes
no;no;yes;no;no;yes;yes;yes;yes;no;no;yes;0;yes;no;yes
no;no;no;yes;no;yes;yes;yes;yes;yes;no;yes;0;yes;no;yes
no;yes;yes;no;yes;no;no;no;yes;yes;no;no;2;yes;yes;no
no;yes;yes;no;yes;yes;no;no;yes;yes;no;no;2;yes;no;no
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;4;yes;no;yes
no;yes;yes;no;yes;no;no;no;yes;yes;no;no;2;yes;no;yes
no;no;yes;no;no;no;no;no;no;yes;no;no;6;no;no;no
no;no;yes;no;no;yes;yes;yes;yes;yes;no;no;4;no;no;no
yes;no;no;yes;yes;no;no;yes;yes;yes;no;no;2;yes;no;no
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;4;yes;no;yes
yes;no;no;yes;no;no;yes;yes;yes;yes;no;no;2;no;yes;yes
no;no;yes;no;yes;no;no;no;no;yes;no;no;6;no;no;no
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;4;yes;yes;yes
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;2;no;no;yes
no;yes;yes;no;yes;yes;yes;no;yes;yes;no;no;2;yes;no;no
no;no;yes;no;no;yes;no;yes;yes;no;no;yes;0;yes;no;no
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;4;yes;yes;no
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;4;yes;no;no
no;yes;yes;no;yes;no;yes;no;yes;yes;no;no;2;yes;no;no
no;no;yes;no;no;yes;yes;yes;yes;no;no;yes;0;yes;no;no
yes;no;yes;no;yes;no;no;no;no;yes;yes;no;6;no;yes;no
yes;no;yes;no;yes;no;no;no;no;yes;no;no;6;no;no;no
no;yes;yes;no;no;no;yes;no;yes;yes;no;no;2;yes;no;no
no;no;yes;no;yes;no;yes;no;no;yes;no;no;6;no;no;no
no;yes;yes;no;yes;no;no;no;yes;yes;no;no;2;yes;no;no
yes;no;no;yes;no;no;yes;yes;yes;yes;no;no;4;yes;no;yes
yes;no;no;yes;no;no;yes;yes;yes;yes;no;no;4;yes;no;yes
no;no;yes;no;no;yes;yes;no;no;no;no;no;6;no;no;no
yes;no;no;yes;no;no;yes;yes;yes;yes;no;no;4;yes;no;yes
yes;no;no;yes;no;yes;yes;yes;yes;yes;no;no;4;yes;no;yes
yes;no;no;yes;no;no;yes;yes;yes;yes;no;no;4;yes;no;no
yes;no;no;yes;no;no;yes;yes;yes;yes;no;no;4;yes;no;yes
yes;no;yes;no;yes;no;no;no;no;yes;no;no;6;no;no;no
no;no;yes;no;no;yes;yes;yes;yes;yes;no;no;4;yes;no;no
no;no;yes;no;no;yes;yes;no;no;no;no;no;8;no;no;yes
yes;no;no;yes;no;no;yes;yes;yes;yes;no;no;4;yes;no;no
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;4;yes;no;yes
no;yes;yes;no;no;no;no;no;yes;yes;no;no;2;yes;no;yes
no;yes;yes;no;yes;no;no;no;yes;yes;no;no;2;yes;yes;no
no;yes;yes;no;no;yes;yes;no;yes;yes;no;no;2;yes;no;yes
no;yes;yes;no;yes;no;no;no;yes;yes;no;no;2;yes;no;no
no;no;yes;no;no;yes;yes;yes;yes;no;no;yes;0;yes;no;yes
no;no;yes;no;no;yes;yes;yes;yes;no;no;yes;0;yes;no;no
no;no;yes;no;no;no;yes;yes;yes;yes;yes;no;0;yes;no;no
yes;no;yes;yes;no;yes;yes;no;yes;yes;no;no;4;yes;no;yes
yes;no;no;yes;no;no;yes;yes;yes;yes;no;no;4;yes;no;yes
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;4;yes;yes;yes
no;no;no;yes;no;yes;yes;yes;yes;yes;no;yes;0;yes;no;yes
yes;no;no;yes;no;no;yes;yes;yes;yes;no;no;4;yes;no;yes
yes;no;no;yes;no;no;yes;yes;yes;yes;no;no;4;yes;yes;yes
yes;no;no;yes;no;no;yes;yes;yes;yes;no;no;4;yes;no;yes
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;4;yes;yes;yes
no;yes;yes;no;no;no;yes;no;yes;yes;no;no;2;yes;no;yes
no;no;no;no;no;no;yes;no;no;yes;yes;no;8;yes;no;no
no;no;yes;no;no;yes;no;yes;yes;no;no;yes;0;yes;no;no
yes;no;no;yes;no;yes;yes;yes;yes;yes;no;yes;0;no;no;yes
yes;no;no;yes;no;yes;yes;yes;yes;yes;no;yes;2;yes;no;yes
no;no;no;no;no;yes;yes;yes;yes;no;yes;no;0;yes;no;no
no;no;yes;no;no;yes;yes;no;no;no;yes;no;0;no;no;no
no;yes;yes;no;yes;yes;yes;no;yes;yes;no;no;2;yes;no;no
no;yes;yes;no;yes;yes;yes;no;yes;yes;no;no;2;yes;no;no
no;no;yes;no;no;no;yes;yes;yes;yes;no;no;0;yes;no;no
no;no;yes;no;no;no;no;no;no;yes;no;no;0;no;no;no
no;no;yes;no;no;yes;no;yes;yes;no;no;yes;0;yes;no;no
no;yes;yes;no;yes;no;no;no;yes;yes;no;no;2;yes;no;no
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;2;yes;no;no
no;no;yes;no;no;yes;yes;no;no;no;no;no;5;no;no;no
no;no;yes;no;no;yes;yes;yes;yes;no;yes;yes;0;yes;no;yes
no;yes;yes;no;yes;yes;no;no;yes;yes;no;no;2;yes;no;yes
no;no;yes;no;no;no;no;no;no;yes;no;no;6;no;no;no
no;no;yes;no;no;yes;no;yes;yes;yes;no;no;4;no;no;no
no;no;yes;no;no;no;no;no;yes;yes;no;no;4;yes;no;yes
no;no;yes;no;no;no;yes;yes;yes;yes;no;no;4;yes;no;no
no;no;yes;no;no;yes;yes;yes;yes;no;no;yes;0;yes;no;yes
yes;no;no;yes;yes;no;no;yes;yes;yes;no;no;2;yes;no;no
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;4;yes;no;no
no;yes;yes;no;yes;no;yes;no;yes;yes;no;no;2;yes;no;yes
yes;no;no;yes;no;no;no;yes;yes;yes;no;no;2;yes;no;yes
yes;no;yes;no;yes;no;no;no;no;yes;yes;no;6;no;no;no
yes;no;no;yes;no;no;yes;yes;yes;yes;no;no;4;yes;no;yes
no;no;yes;no;no;no;no;no;no;yes;no;no;0;no;no;no
no;yes;yes;no;yes;no;no;no;yes;yes;no;no;2;yes;no;no
